No,Nama Lokasi,Alamat,Luas,Kapasitas,Keterangan,Nomor Telpon,Latitude,Longitude
1,BPBD Kabupaten Cilacap,"Jl. Swadaya No.20, Pendowo, Tambakreja, Kec. Cilacap Sel., Kabupaten Cilacap, Jawa Tengah 53211",132,460,Lantai 2,533520,-7.7073066,109.0245567
2,SMP N 1 Cilacap,"Jl. Jend. Ahmad Yani No.15, Bonduren, Tambakreja, Kec. Cilacap Sel., Kabupaten Cilacap, Jawa Tengah 53211",1491,970,Lantai 1 - 4,531133,-7.7382637,109.0045365
3,Politeknik Negeri Cilacap,"Jalan Dokter Soetomo No.1, Karangcengis, Sidakaya, Kec. Cilacap Sel., Kabupaten Cilacap, Jawa Tengah 53212",5292,17640,Lantai 3 + Lantai 4,520717,-7.7073066,109.0245567
4,RSUD Cilacap,"Jl. Gatot Subroto No.28, Tambaksari, Sidanegara, Kec. Cilacap Tengah, Kabupaten Cilacap, Jawa Tengah 53223",0,600,Lantai 2,535233,-7.7172811,109.01272
5,Akbid Graha Mandiri,"Jalan Dokter Soetomo No:4 - B, Sidakaya Dua, Sidakaya, Kec. Cilacap Sel., Kabupaten Cilacap, Jawa Tengah 52530",560,1866,Lantai 2,534908,-7.7172544,109.0049714
6,Asrama Putri Stikes Al-Irsyad,"Jl.kinibalu,Sidanegara, Cilacap Tengah, Wanasari, Sidanegara, Kec. Cilacap Tengah, Kabupaten Cilacap, Jawa Tengah 53212",1700,5333,Lantai 2 + Lantai 3,5253465,-7.7118733,109.0176178
7,SD Al-Irsyad 01,"Jl. Jend. Sudirman No.56, Kandang Macan, Tegalreja, Kec. Cilacap Sel., Kabupaten Cilacap, Jawa Tengah 53212",1221,4070,Lantai 2 + Lantai 3,535859,-7.727615,109.0035234
8,Rusunawa,"Karangmulia, Tegalkamulyan, Kec. Cilacap Sel., Kabupaten Cilacap, Jawa Tengah",886,2953,Lantai 3,533635,-7.7275883,108.9957718
9,AMN Cilacap,"Jl. Kendeng No.307, Rawapasung, Sidanegara, Kec. Cilacap Tengah, Kabupaten Cilacap, Jawa Tengah 53223",1344,4480,Lantai 2- Lantai 8,5070154,-7.7034604,109.0174915
10,RSI Fatimah,"Jl. Ir. H. Juanda No.20, Amiranom, Kebonmanis, Kec. Cilacap Utara, Kabupaten Cilacap, Jawa Tengah 53224",490,1633,Lantai 2,542396,-7.6922862,109.0224392
11,Badan Diklat Arsip dan Perpusd,"Jl. Jend. Sudirman No.12, Cilacap, Sidanegara, Kec. Cilacap Tengah, Kabupaten Cilacap, Jawa Tengah 53283",736,2453,Lantai 2,521183,-7.7245819,109.0064168
